student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0060,G151,1,0,1,0.18,0.91,95,0.5,0.6,0.67,0.56,0.67
user0067,G151,1,0,1,0.45,0.45,95,0.58,0.55,0.93,0.72,0.83
user0056,G151,1,0,0,0,0.73,77,0.58,0.55,0.47,0.72,0.78
user0079,G151,1,0,1,0.18,0.64,88,0.33,0.3,0.33,0.67,0.67
user0082,G151,1,0,1,0.27,0.64,53,0.5,0.65,0.47,0.67,0.67
user0027,G151,1,0,1,0.27,0.64,94,0.58,0.65,0.67,0.78,0.67
user0077,G151,1,0,1,0.09,0.64,70,0.25,0.45,0.6,0.78,0.89
user0024,G151, ,1,1, , , ,1,0.65,0.87,1,0.67
user0003,G151,0,0,1,0.27, ,-1,0.5,0.4,0.87,0.33,0
user0032,G151,1,0,1,0.09, ,65,0.5,0.15,0.8,0.67,0.44
user0055,G151,1,0,1,0.18, ,66,0.5,0.45,0.33,0.56,0.61
user0065,G151,1,0,1,0.09, ,76,0.5,0.45,0.67,0.5,0.61
user0085,G151,0,0,1,0.45, ,-1,0.42,0.6,0.67,0.67,0.44
user0017,G151,1,0,0,0.09,0.73,91,0.33,0.35,0.6,0.56,0.17
user0042,G151,1,0,1,0.09,1,87,0.25,0.45,0.53,0.56,0.17
user0050,G151,1,0,1,0.09,0.27,81,0.33,0.45,0.47,0.44,0.56
user0011,G151,1,0,1,0.27,0.82,87,0.58,0.45,0.67,0.61,0.22
user0020,G151,1,0,1,0.27,0.91,93,0.58,0.6,0.73,0.67,0.33
user0022,G151,1,0,1,0.27,0.55,52,0.33,0.2,0.93,0.5,0
user0030,G151,1,0,1,0.09,0.82,70,0.42,0.5,0.73,0.5,0.39
user0035,G151,1,0,0,0.36,0.36,58,0.33,0.55,0.6,0.5,0.5
user0084,G151,1,0,0,0, ,81,0.75,0.35,0.93,0.94,0.5
user0008,G151,1,0,1,0.45,0.64,100,0.67,0.7,0.67,0.89,0.33
user0009,G151,1,0,1,0.09, ,88,0.58,0.65,0.8,0.78,0
user0053,G151,1,0,1,0.18,0.91,90,0.5,0.55,0.73,0.83,0.5
user0019,G151,0,0,0,0.55, ,-1,0.67,0.6,0.67,0.72,0.67
user0026,G151,1,0,1,0.09,0.55,91,0.83,0.5,0.67,0.67,0.67
user0062,G151,1,0,1,0.45,0.64,94,0.33,0.65,0.8,0.72,0.83
user0045,G151, ,1,1, , , ,0.83,0.55,0.73,0.72,0.72
user0010,G151,1,0,1,0.18, ,85,0.83,0.85,0.67,0.83,0.89
user0049,G151,1,0,1,0.36,0.91,80,0.75,0.65,1,0.78,0.67
user0029,G151,1,0,1,0.27,0.91,99,0.67,0.45,1,0.89,0.94
user0034,G151,1,0,1,0.18,0.82,100,0.5,0.6,0.6,0.89,0.83
user0036,G151,1,0,1,0.18,0.91,100,0.92,0.75,0.73,0.89,0.67
user0037,G151,1,0,1,0,0.82,97,0.58,0.5,0.8,0.83,0.83
user0052,G151,1,0,1,0.91,0.91,95,0.92,0.9,0.93,0.83,0.83
user0168,G152,0,0, ,0, ,-1, , , , , 
user0180,G152,0,0, ,0.64, ,-1, , , , , 
user0186,G152,0,0, , , ,-1, , , , , 
user0212,G152,0,0, , , ,-1, , , , , 
user0214,G152,0,0, , , ,-1, , , , , 
user0216,G152, ,1, , , , , , , , , 
user0213,G152,1,0, , ,0.55,84, , , , , 
user0134,G152,1,0,1,0.09, ,89,0.5,0.5,0.67,0.5,0.5
user0139,G152,0,0,1,0.09, ,-1,0.5,0.15,0.6,0.67,0.56
user0140,G152,0,0,1,0.36, ,-1,0.67,0.9,0.73,0.61,0
user0161,G152,1,0,1,0.45, ,53,0.67,0.65,0.67,0.72,0.61
user0182,G152,1,0,1,0.45,0.82,83,0.42,0.65,0.53,0.44,0.06
user0190,G152,1,0,1,0.18, ,45,0.33,0.5,0.53,0.17,0.11
user0196,G152,1,0,1,0.09, ,63,0.5,0.65,0.6,0.44,0.44
user0207,G152,0,0,1,0, ,-1,0.83,0.45,0.87,0.67,0.28
user0211,G152,0,0,1,0.18, ,-1,0.5,0.45,0.67,0.44,0.44
user0137,G152,1,0,1,0.27,0.45,96,0.42,0.5,0.6,0.61,0.44
user0159,G152,1,0,1,0.27,1,100,0.33,0.8,0.47,0.44,0.22
user0202,G152,1,0,1,0.18,0.55,63,0.5,0.55,0.73,0.61,0.61
user0157,G152,1,0,1,0.45,0.64,89,0.67,0.5,0.67,0.72,0.61
user0185,G152,1,0,1,0.09,0.64,56,0.33,0.25,0.33,0.17,0.17
user0194,G152,1,0,1,0.18,0.55,85,0.5,0.3,0.4,0.61,0.22
user0201,G152,1,0,1,0.18,0.64,77,0.67,0.35,0.8,0.72,0.44
user0144,G152,1,0,1,0.27, ,62,0.58,0.6,0.93,0.94,0.61
user0148,G152,0,0,0,0.36, ,-1,0.58,0.6,0.93,0.89,0
user0198,G152,0,0,1,0.09, ,-1,0.58,0,0.8,0.89,0.56
user0172,G152,1,0,1,0.27,0.73,95,0.58,0.65,0.73,0.78,0.5
user0208,G152,1,0,1,0.09,0.64,62,0.67,0.15,0.93,0.94,0
user0143,G152,1,0,1,0.82, ,91,0.5,0.7,0.67,0.44,0.67
user0184,G152,0,0,1,0.73, ,-1,0.83,1,0.93,0.5,0.67
user0187,G152,1,0,1,0.09, ,22,0.58,0.4,0.67,0.67,0.72
user0175,G152,1,0,0,0.18,0.45,80,0.42,0.5,0.53,0.61,0.72
user0200,G152,1,0,1,0.09,0.18,49,0.58,0.25,0.6,0.67,0.67
user0174,G152,1,0,1,0.09,0.73,69,0.67,0.5,0.6,0.56,0.67
user0177,G152,0,0,1,0,0.09,-1,0.33,0.4,0.6,0.67,0.67
user0192,G152,1,0,1,0.09,0.55,70,0.67,0.75,0.73,0.72,0.67
user0147,G152,0,0,1,0.64, ,-1,0.83,0.6,0.8,0.89,0.67
user0162,G152,1,0,1,0, ,84,0.5,0.65,0.67,0.89,0.94
user0209,G152,0,0,1,0.55, ,-1,0.67,0.75,0.8,1,1
user0133,G152,1,0,1,0.27,0.82,72,0.75,0.8,0.8,0.78,0.67
user0129,G152,1,0,1,0.09,0.55,84,0.58,0.65,0.8,0.78,0.78
user0155,G152,0,0,0,0.09,0.18,-1,0.83,0.25,0.93,1,0.67
user0204,G152,1,0,1,0,0.36,71,0.58,0.55,0.67,0.83,0.83
user0136,G152,1,0,1,0.09,0.55,84,0.67,0.3,0.67,0.44,0.5
user0146,G152,1,0,1,0.09,0.55,80,0.5,0.45,0.67,0.67,0.5
user0156,G152,1,0,1,0.09,0.27,69,0.5,0.25,0.6,0.61,0.5
user0179,G152,1,0,1,0.09,0.45,84,0.58,0.45,0.87,0.5,0.39
user0205,G152,1,0,1,0.18,0.82,85,0.58,0.45,0.67,0.56,0.44
user0135,G152,1,0,1,0.09,0.91,89,0.58,0.35,0.67,0.56,0.5
user0158,G152,1,0,1,0.18,0.73,77,0.33,0.4,0.53,0.67,0.56
user0178,G152,1,0,0,0.09,0.18,73,0.58,0.5,0.67,0.67,0.5
user0130,G152,1,0,1,0.18,0.91,89,0.58,0.7,0.93,1,0.5
user0171,G152,1,0,0,0.18,0.73,97,0.67,0.8,0.8,0.78,0.5
user0193,G152,1,0,0,0,0.45,75,0.58,0.5,0.93,0.78,0.5
user0132,G152,1,0,1,0.18,0.91,100,0.67,0.5,0.8,0.83,0.61
user0197,G152,1,0,1,1,0.82,80,0.92,0.7,1,0.89,0.61
user0163,G152,1,0,1,0.09, ,98,0.67,0.7,1,0.72,0.72
user0154,G152,1,0,1,0.36,0.73,63,0.58,0.65,0.6,0.72,0.72
user0150,G152,1,0,1,0.55,0.91,88,0.58,0.8,0.67,0.72,0.83
